variant,kind,Cell Size,Strut Thickness,Shell Thickness,resp_envelope_volume,resp_lattice_volume,resp_mass,resp_surface_area,resp_max_stress,resp_max_displacement,resp_min_thickness,porosity,relative_density,mass_g,stiffness_N_mm,E_app_GPa,max_stress_MPa,max_stress_peak_MPa,sf_yield,sf_fatigue,pore_um,pore_estimated,strut_mm,surface_area_mm2,specific_surface_1_mm,lattice_volume_mm3,max_displacement_mm,cell_mm,d_modulus,d_porosity,d_pore_size,d_sf_yield,d_sf_fatigue,d_strut,d_mass,d_surface_area,D,feasible,soft,p_fail,D_adj,modulus_dev,elapsed_s,out_Solve Time,pred_E_app_GPa,pred_porosity,pred_pore_um,pred_sf_yield,pred_sf_fatigue,pred_mass_g,pred_max_stress_MPa,pred_D,resp_pore_size
fusion_cage_diamond,predicted optimum,1.9226,0.4497,0.5,6000.0,1976.1421441062273,8.75419914854087,16711.04986009132,60.95854442756277,0.005542211130640586,0.449650016808642,0.6706429759822954,0.3293570240177046,8.75419914854087,216520.0804721599,5.196481931331838,60.95854442756277,101.59757404593796,9.350616970149815,5.741606911495501,799.9900000000002,1.0,0.449650016808642,16711.04986009132,8.456400724983991,1976.1421441062273,0.005542211130640586,1.9226,0.9869012045778774,1.0,1.0,1.0,1.0,0.9976667787242798,0.7925628663945868,0.5339451088826058,0.9789761933924503,True,0.9789761933924503,0.0,0.9789761933924503,2.196481931331838,,,,,,,,,,,
fusion_cage_diamond,recommended (verified),1.9226,0.4497,0.5,6000.0,1970.934,8.731,16795.029,61.117,0.0055561,0.4497,0.671511,0.32848900000000003,8.731,215978.83407426073,5.183492017782258,61.117,101.86166666666666,9.326374003959618,5.726720879624327,799.9900000000002,1.0,0.4497,16795.029,8.521355357409227,1970.934,0.0055561,1.9226,0.9877671988145162,1.0,1.0,1.0,1.0,0.9979999999999999,0.7933974481964696,0.535803118307753,0.979335556135881,True,,,,2.1834920177822577,0.0,136.4,5.210277688197768,0.6696993860825518,799.9900000000002,9.374626694274367,5.756349724554436,8.779406725151148,60.80242110847276,0.9789185350420005,
fusion_cage_gyroid,predicted optimum,2.0513,0.3282,0.5,6000.0,2746.3791599528918,12.166398327478126,18773.690779015185,35.1575282074188,0.002499509300563942,0.3282349982466536,0.5422701400078513,0.45772985999214866,12.166398327478126,480094.23278771347,11.522261586905124,35.1575282074188,58.595880345698,16.21274387201433,9.955193605622833,799.997022183042,0.0,0.3282349982466536,18773.690779015185,6.835797129824277,2746.3791599528918,0.002499509300563942,2.0513,0.5651825608729918,0.7113507000392567,1.0,1.0,1.0,0.1882333216443573,0.6698101138906085,0.5795803258212676,0.7176029588452191,True,0.7176029588452191,0.0,0.7176029588452191,8.522261586905124,,,,,,,,,,,0.7999970221830419
fusion_cage_gyroid,recommended (verified),2.0513,0.3282,0.5,6000.0,2722.1711,12.059000000000001,18445.193,35.49,0.0025177,0.3282,0.5463048166666666,0.45369518333333336,12.059000000000001,476625.49152003817,11.439011796480916,35.49,59.15,16.06086221470837,9.861932938856015,800.0,0.0,0.3282,18445.193,6.775912432543274,2722.1711,0.0025177,2.0513,0.5707325469012723,0.7315240833333332,1.0,1.0,1.0,0.188,0.6736737336914811,0.5723124260759993,0.724015826912555,True,,,,8.439011796480916,0.0,191.2,11.62470513921602,0.5378301861886332,800.0000443485408,16.27794440101278,9.995229018165741,12.284587857450951,35.01670640701634,0.7117862159973747,0.8
fusion_cage_kelvin,predicted optimum,2.0833,0.45,0.5,6000.0,2017.7411590300078,8.938729333435932,17370.42259463379,73.00842436919086,0.005306165849258867,0.4499500452077735,0.663709806828332,0.336290193171668,8.938729333435932,226151.99639257576,5.427647913421818,73.00842436919086,121.68070728198477,7.807318195467546,4.793967313006387,799.9799999999999,1.0,0.4499500452077735,17370.42259463379,8.608845845710112,2017.7411590300078,0.005306165849258867,2.0833,0.9714901391052121,1.0,1.0,1.0,1.0,0.9996669680518232,0.7859244531812668,0.5485335025812935,0.9748042453290664,True,0.9748042453290664,0.0,0.9748042453290664,2.4276479134218176,,,,,,,,,,,
fusion_cage_kelvin,recommended (verified),2.0833,0.45,0.5,6000.0,2018.028,8.94,17372.322,73.0032,0.0053055,0.45,0.663662,0.336338,8.94,226180.37885213457,5.4283290924512295,73.0032,121.67200000000003,7.807876914984547,4.794310386394021,799.9799999999999,1.0,0.45,17372.322,8.608563409427422,2018.028,0.0053055,2.0833,0.9714447271699181,1.0,1.0,1.0,1.0,1.0,0.7858787413660783,0.5485755262680856,0.9748039223259524,True,,,,2.4283290924512295,0.0,139.9,5.42890844710044,0.6636610133087866,799.9799999999999,7.808193857728055,4.794505000359332,8.940026513050942,73.00023672386799,0.9747811659440089,
fusion_cage_octet,predicted optimum,2.2727,0.45,0.5,6000.0,1807.6468767261185,8.007857813930338,14774.758210258362,52.90863537604915,0.00480979845493846,0.4499994829965428,0.6987255205456468,0.30127447945435315,8.007857813930338,249490.7034551313,5.987776882923152,52.90863537604915,88.18105896008191,10.773288631406084,6.615177229810753,799.9850000000001,1.0,0.4499994829965428,14774.758210258362,8.173475915283495,1807.6468767261185,0.00480979845493846,2.2727,0.9341482078051232,1.0,1.0,1.0,1.0,0.9999965533102853,0.819412252472767,0.4911053258229603,0.9620955758109653,True,0.9620955758109653,0.0,0.9620955758109653,2.9877768829231517,,,,,,,,,,,
fusion_cage_octet,recommended (verified),2.2727,0.45,0.5,6000.0,1808.1567,8.01,14775.326,52.9047,0.0048095,0.45,0.69864055,0.30135945,8.01,249506.18567418648,5.988148456180475,52.9047,88.1745,10.774090014686786,6.615669307263816,799.9850000000001,1.0,0.45,14775.326,8.17148535854221,1808.1567,0.0048095,2.2727,0.934123436254635,1.0,1.0,1.0,1.0,1.0,0.8193351880276285,0.4911178879746162,0.962086737028465,True,,,,2.9881484561804754,0.0,124.6,6.058160977081888,0.698274465505402,799.9850000000001,10.774084664893943,6.615666022303299,8.019790003837722,52.90472626944137,0.9606359914286129,
