variant,kind,Cell Size,Strut Thickness,Shell Thickness,resp_envelope_volume,resp_lattice_volume,resp_mass,resp_surface_area,resp_max_stress,resp_max_displacement,resp_min_thickness,porosity,relative_density,mass_g,stiffness_N_mm,E_app_GPa,max_stress_MPa,max_stress_peak_MPa,sf_yield,sf_fatigue,pore_um,pore_estimated,strut_mm,surface_area_mm2,specific_surface_1_mm,lattice_volume_mm3,max_displacement_mm,cell_mm,d_modulus,d_porosity,d_pore_size,d_sf_yield,d_sf_fatigue,d_strut,d_mass,d_surface_area,D,feasible,soft,p_fail,D_adj,modulus_dev,elapsed_s,out_Solve Time,resp_pore_size,pred_E_app_GPa,pred_porosity,pred_pore_um,pred_sf_yield,pred_sf_fatigue,pred_mass_g,pred_max_stress_MPa,pred_D
fusion_cage_diamond,predicted optimum,1.9093,0.45,0.5,6000.0,1980.0948831373012,8.771518937821861,17545.299904103405,66.180427643136,0.005760004763017741,0.4500001380685267,0.6699841861437832,0.3300158138562168,8.771518937821861,208333.1610599753,4.999995865439407,66.180427643136,110.30071273856001,8.612818325587208,5.288572656062321,791.045,1.0,0.4500001380685267,17545.299904103405,8.860837959595294,1980.0948831373012,0.005760004763017741,1.9093,1.0,1.0,1.0,1.0,1.0,1.0,0.784304365819672,0.5524026025696032,0.9834104229521559,True,0.9834104229521559,0.0,0.9834104229521559,1.9999958654394074,,,,,,,,,,,
fusion_cage_diamond,recommended (best observed run),2.75,0.9,1.0,6000.0,3365.5691,14.909,14737.685,32.517,0.0025207,0.9,0.4390718166666666,0.5609281833333334,14.909,476058.2377910898,11.425397706986155,32.517,54.19500000000001,17.529292370144844,10.763600578159116,887.5000000000001,1.0,0.9,14737.685,4.378957781612625,3365.5691,0.0025207,2.75,0.5716401528675896,0.19535908333333302,0.5624999999999994,1.0,1.0,1.0,0.5554077573346593,0.49028509386827007,0.5068137401381887,True,,,,8.425397706986155,0.0,218.4,,,,,,,,,
fusion_cage_gyroid,predicted optimum,2.052,0.3286,0.5,6000.0,2730.521303563052,12.096192848787599,19088.041423670496,35.16756478418764,0.002521145972772866,0.3285812883647634,0.5449131160728247,0.45508688392717533,12.096192848787599,475974.0264782002,11.423376635476805,35.16756478418764,58.61260797364607,16.208116868424412,9.952352463067621,799.9914778792631,0.0,0.3285812883647634,19088.041423670496,6.990621680469055,2730.521303563052,0.002521145972772866,2.052,0.571774890968213,0.7245655803641233,1.0,1.0,1.0,0.19054192243175613,0.6603110573550125,0.5865352251118032,0.7233443489167851,True,0.7233443489167851,0.0,0.7233443489167851,8.423376635476805,,,0.7999914778792632,,,,,,,,
fusion_cage_gyroid,recommended (verified),2.1158,0.3444,0.6395,6000.0,2836.6735,12.566,17447.25,33.095,0.0024386,0.3444,0.5272210833333333,0.4727789166666667,12.566,492085.62289838435,11.810054949561223,33.095,55.15833333333333,17.223145490255327,10.575615651911166,819.3000000000001,0.0,0.3444,17447.25,6.150602104895047,2836.6735,0.0024386,2.1158,0.5459963366959184,0.6361054166666664,0.9034999999999996,1.0,1.0,0.29599999999999993,0.6427896568871208,0.5502332823532137,0.688749817798686,True,,,,8.810054949561223,0.0,193.4,0.8193,12.08379983556148,0.523201850472605,819.2383868154138,17.400728960664992,10.684658133741662,12.673364026199268,32.75724834795753,0.6793985653110471
fusion_cage_kelvin,predicted optimum,2.0833,0.45,0.5,6000.0,2017.9771869505191,8.939775162859716,17371.642192741074,73.0024474672099,0.005305538661075928,0.44999878632896695,0.6636704688415802,0.3363295311584198,8.939775162859716,226178.73069209678,5.428289536610323,73.0024474672099,121.67074577868317,7.807957401099788,4.794359807692852,799.9799999999999,1.0,0.44999878632896695,17371.642192741074,8.608443299100104,2017.9771869505191,0.005305538661075928,2.0833,0.9714473642259785,1.0,1.0,1.0,1.0,0.9999919088597796,0.7780292704055303,0.5485604857676025,0.9746081771218559,True,0.9746081771218559,0.0,0.9746081771218559,2.4282895366103228,,,,,,,,,,,
fusion_cage_kelvin,recommended (verified),2.0833,0.45,0.5,6000.0,2018.028,8.94,17372.322,73.0032,0.0053055,0.45,0.663662,0.336338,8.94,226180.37885213457,5.4283290924512295,73.0032,121.67200000000003,7.807876914984547,4.794310386394021,799.9799999999999,1.0,0.45,17372.322,8.608563409427422,2018.028,0.0053055,2.0833,0.9714447271699181,1.0,1.0,1.0,1.0,1.0,0.7780208851317753,0.5485755262680856,0.9746080232105948,True,,,,2.4283290924512295,0.0,139.9,,5.4286104594034725,0.6636405472500635,799.9799999999999,7.8081840141686225,4.794498956068453,8.940569882505939,73.00032875322685,0.9746028167272773
fusion_cage_octet,predicted optimum,2.2727,0.45,0.5,6000.0,1808.0998321400523,8.00974859211844,14883.026690433986,52.9082632221466,0.004835203135462025,0.4499999736966862,0.6986500279766579,0.3013499720233421,8.00974859211844,248179.8523001112,5.9563164552026695,52.9082632221466,88.18043870357768,10.773364410143905,6.61522376061468,799.9850000000001,1.0,0.4499999736966862,14883.026690433986,8.231308042774694,1808.0998321400523,0.004835203135462025,2.2727,0.9362455696531554,1.0,1.0,1.0,1.0,0.9999998246445746,0.8127144980562491,0.4935007285007137,0.9626788838047229,True,0.9626788838047229,0.0,0.9626788838047229,2.9563164552026695,,,,,,,,,,,
fusion_cage_octet,recommended (verified),2.2727,0.45,0.5,6000.0,1808.1567,8.01,14775.326,52.9047,0.0048095,0.45,0.69864055,0.30135945,8.01,249506.18567418648,5.988148456180475,52.9047,88.1745,10.774090014686786,6.615669307263816,799.9850000000001,1.0,0.45,14775.326,8.17148535854221,1808.1567,0.0048095,2.2727,0.934123436254635,1.0,1.0,1.0,1.0,1.0,0.8127051218299353,0.4911178879746162,0.9619304120757765,True,,,,2.9881484561804754,0.0,124.6,,5.989838491338288,0.698621623874421,799.9850000000001,10.774180775959355,6.6157250378697805,8.0105032127339,52.9042543329004,0.9618967794426975
