rank,variant,lattice,D_recommended,source,D_predicted_optimum,n_runs,n_ok,n_feasible,Cell Size,Strut Thickness,Shell Thickness,E_app_GPa,porosity,pore_um,sf_yield,sf_fatigue,mass_g,max_stress_MPa,surface_area_mm2,strut_mm,d_modulus,d_porosity,d_pore_size,d_sf_fatigue,d_sf_yield,d_strut,d_mass,d_surface_area
1,fusion_cage_kelvin,kelvin,0.9746080232105948,verified,0.9746081771218559,18,16,3,2.0833,0.45,0.5,5.4283290924512295,0.663662,799.9799999999999,7.807876914984547,4.794310386394021,8.94,73.0032,17372.322,0.45,0.9714447271699181,1.0,1.0,1.0,1.0,1.0,0.7780208851317753,0.5485755262680856
2,fusion_cage_octet,octet,0.9619304120757765,verified,0.9626788838047229,19,17,6,2.2727,0.45,0.5,5.988148456180475,0.69864055,799.9850000000001,10.774090014686786,6.615669307263816,8.01,52.9047,14775.326,0.45,0.934123436254635,1.0,1.0,1.0,1.0,1.0,0.8127051218299353,0.4911178879746162
3,fusion_cage_gyroid,gyroid,0.688749817798686,verified,0.7233443489167851,17,15,4,2.1158,0.3444,0.6395,11.810054949561223,0.5272210833333333,819.3000000000001,17.223145490255327,10.575615651911166,12.566,33.095,17447.25,0.3444,0.5459963366959184,0.6361054166666664,0.9034999999999996,1.0,1.0,0.29599999999999993,0.6427896568871208,0.5502332823532137
4,fusion_cage_diamond,diamond,0.5068137401381887,best observed run,0.9834104229521559,15,13,1,2.75,0.9,1.0,11.425397706986155,0.4390718166666666,887.5000000000001,17.529292370144844,10.763600578159116,14.909,32.517,14737.685,0.9,0.5716401528675896,0.19535908333333302,0.5624999999999994,1.0,1.0,1.0,0.5554077573346593,0.49028509386827007
